name,gender,age,height,weight,salary,nationality,code,country,language1,language2,language3,first,last
Aaron Alexander,Male,54,1.7,90,151000,British,GB,United Kingdom,Haskell,,,Aaron,Alexander
Aaron Kirby,Male,59,1.69,43,80000,Spanish,SP,Spain,Falcon,haXe,GNU Octave,Aaron,Kirby
Abram Allen,Male,41,1.7,44,75000,Italian,IT,Italy,TypeScript,,,Abram,Allen
Abram Boyer,Male,45,1.64,68,76000,Italian,IT,Italy,Lua,Falcon,Io,Abram,Boyer
Adaline Barry,Female,54,1.87,58,122000,Uruguayan,UY,Uruguay,Racket,,,Adaline,Barry
Adam Lawrence,Female,54,1.7,63,114000,Cambodian,CM,Cambodia,Kotlin,Erlang,Perl,Adam,Lawrence
Adam Rush,Female,38,1.87,49,103000,Cameroonian,CM,Cameroon,,,,Adam,Rush
Adan Brown,Male,49,1.81,68,63000,Belgian,BE,Belgium,F#,,,Adan,Brown
Adelle Duffy,Female,27,1.63,59,67000,French,FR,France,C++,Lisp,Ceylon,Adelle,Duffy
Adena Holland,Female,18,1.59,63,117000,Italian,IT,Italy,Assembly,Ruby,,Adena,Holland
Adolph Dalton,Male,25,1.63,68,62000,Spanish,SP,Spain,Dart,,,Adolph,Dalton
Adrian Blevins,Male,55,1.81,90,103000,Chinese,CH,China,Dylan,Clojure,ECMAScript,Adrian,Blevins
Adriene Garcia,Female,48,1.62,75,163000,Cameroonian,CM,Cameroon,Caml,,,Adriene,Garcia
Adriene Ray,Female,47,1.6,79,148000,Polish,PO,Poland,C#,Dart,,Adriene,Ray
Agripina Bond,Female,25,1.65,38,68000,Costa Rican,CR,Costa Rica,Bash,Perl,Fortran,Agripina,Bond
Agustin Fulton,Male,34,1.99,42,126000,Swedish,SE,Sweden,C#,Common Lisp,ASP,Agustin,Fulton
Agustin Mcdonald,Male,53,1.83,49,80000,Cameroonian,CM,Cameroon,Java,,,Agustin,Mcdonald
Ai Hudson,Female,55,1.56,38,88000,Chilean,CL,Chile,PL-I,,,Ai,Hudson
Aide Gallagher,Female,30,1.81,58,46000,Chinese,HK,Hong Kong,AutoIt,,,Aide,Gallagher
Aide Levy,Female,41,1.73,75,89000,Italian,IT,Italy,Lua,Scheme,Groovy,Aide,Levy
